id,relation,provisionId
C1,CITES,P1
C1,CITES,P2
C1,CITES,P3
C1,CITES,P4
C1,CITES,P5
C1,CITES,P6
C1,CITES,P7
C1,CITES,P8
C1,CITES,P9
C1,CITES,P10
C1,CITES,P11
C1,CITES,P12
C1,CITES,P13
C1,CITES,P14
C1,CITES,P15
C1,CITES,P16
C1,CITES,P17
C1,CITES,P18
C1,CITES,P19
C1,CITES,P20
C1,CITES,P21
C1,CITES,P22
C1,CITES,P23
C1,CITES,P24
C1,CITES,P25
C1,CITES,P26
C1,CITES,P27
C1,CITES,P28
C1,CITES,P29
C1,CITES,P30
C1,CITES,P31
C1,CITES,P32
C1,CITES,P33
C1,CITES,P34
C1,CITES,P35
C1,CITES,P36
C1,CITES,P37
C2,CITES,P38
C2,CITES,P39
C2,CITES,P40
C2,CITES,P41
C2,CITES,P42
C2,CITES,P43
C3,CITES,P44
C3,CITES,P45
C3,CITES,P46
C3,CITES,P47
C3,CITES,P48
C3,CITES,P49
C3,CITES,P50
C3,CITES,P51
